Model,Accuracy,Precision (Macro),Recall (Macro),F1 (Macro),F1 (Weighted)
TFIDF + Linear SVM,0.8408710217755444,0.7894554033167781,0.7752599790907923,0.7820952317253062,0.8396495146920004
TFIDF + Logistic Regression,0.8165829145728644,0.7470346924420848,0.7812629272490392,0.7619578737377924,0.8202415927111116
FinBERT (frozen),0.7567001675041876,0.6829304454890107,0.716313909827476,0.6960067384959473,0.760334731414314
FinBERT + Pragmatic Gating,0.7688442211055276,0.7108312291246822,0.6729052130770429,0.6892811975911967,0.763423524048515
DistilBERT-base-uncased (frozen),0.7680067001675042,0.7113648431074117,0.664111683140852,0.6649289210675451,0.7607232438973698
